Date,SPY,Returns,MultiFactorRegime,BinaryRegime,CreditSpreadRegime
2008-07-31,91.72373962402344,-0.004037117293840143,2.0,1,2.0
2008-08-31,93.14120483398438,0.01533544386656981,2.0,1,2.0
2008-09-30,83.88422393798828,-0.10467911152120234,2.0,2,2.0
2008-10-31,70.43301391601562,-0.17477546076727468,2.0,2,2.0
2008-11-30,65.5304183959961,-0.07214766308126025,2.0,2,2.0
2008-12-31,65.63953399658203,0.0016637289831232382,2.0,2,2.0
2009-01-31,60.73866653442383,-0.07759766110273202,2.0,2,2.0
2009-02-28,54.21236038208008,-0.11367157193646948,2.0,2,2.0
2009-03-31,58.31147384643555,0.0728899471882059,2.0,2,2.0
2009-04-30,64.56332397460938,0.10184762826791892,2.0,2,2.0
2009-05-31,68.33727264404297,0.05680882802623535,2.0,2,2.0
2009-06-30,67.90892028808594,-0.006287937418181081,2.0,0,2.0
2009-07-31,73.38751983642578,0.077586491847413,2.0,0,2.0
2009-08-31,76.09842681884766,0.03627370041534915,2.0,0,1.0
2009-09-30,78.423095703125,0.030090879921205127,2.0,0,1.0
2009-10-31,77.2817611694336,-0.014660492919754945,2.0,0,1.0
2009-11-30,82.04285430908203,0.05978374517062503,2.0,0,2.0
2009-12-31,83.1622085571289,0.013551296288433441,2.0,0,1.0
2010-01-31,80.57136535644531,-0.03164970270387751,2.0,0,1.0
2010-02-28,83.08473205566406,0.030717637346304952,1.0,0,2.0
2010-03-31,87.78141784667969,0.05498888119879839,1.0,0,1.0
2010-04-30,89.50650787353516,0.01946149990366713,1.0,0,1.0
2010-05-31,82.39480590820312,-0.08278893647407412,1.0,0,1.0
2010-06-30,77.76166534423828,-0.05787382344718453,2.0,2,1.0
2010-07-31,83.46805572509766,0.07081541610638567,1.0,0,1.0
2010-08-31,79.713623046875,-0.04602349223379959,1.0,2,1.0
2010-09-30,86.38983154296875,0.08042947814963372,1.0,0,2.0
2010-10-31,90.1702880859375,0.04282999401767995,1.0,0,1.0
2010-11-30,90.1702880859375,0.0,1.0,0,1.0
2010-12-31,95.69510650634766,0.05946719103983588,1.0,0,1.0
2011-01-31,98.4398193359375,0.028278226783760962,1.0,0,1.0
2011-02-28,101.85934448242188,0.0341474957095011,1.0,0,1.0
2011-03-31,101.4309310913086,-0.004214800969875939,1.0,0,1.0
2011-04-30,104.82194519042969,0.03288506564777428,1.0,0,1.0
2011-05-31,103.64640808105469,-0.01127796666364487,0.0,0,1.0
2011-06-30,101.39523315429688,-0.021959104234666,1.0,0,1.0
2011-07-31,99.85952758789062,-0.015261605422271618,0.0,0,1.0
2011-08-31,94.36968994140625,-0.056544533852435915,0.0,2,1.0
2011-09-30,87.366455078125,-0.0771085406515762,0.0,2,1.0
2011-10-31,97.40361022949219,0.10875187615964954,0.0,2,1.0
2011-11-30,97.00775146484375,-0.004072388653488365,0.0,2,1.0
2011-12-31,97.40361022949219,0.004072388653488497,0.0,1,1.0
2012-01-31,102.56702423095703,0.051653203845711426,0.0,0,1.0
2012-02-29,107.01898956298828,0.042489811448321625,0.0,0,1.0
2012-03-31,109.97913360595703,0.02728436204003251,0.0,0,1.0
2012-04-30,109.72373962402344,-0.002324904478639217,0.0,0,1.0
2012-05-31,103.1341781616211,-0.06193490777853963,0.0,0,1.0
2012-06-30,106.76628112792969,0.034611315850512095,0.0,0,1.0
2012-07-31,108.58901977539062,0.016928138447397736,1.0,0,1.0
2012-08-31,111.30945587158203,0.024743917740098625,0.0,0,1.0
2012-09-30,113.52525329589844,0.019711095084328306,0.0,0,1.0
2012-10-31,112.05426025390625,-0.01304208764020113,0.0,0,1.0
2012-11-30,112.6884765625,0.005643946506223573,0.0,0,1.0
2012-12-31,112.89459991455078,0.0018274722788153973,0.0,0,1.0
2013-01-31,119.51537322998047,0.05699037005649362,0.0,0,1.0
2013-02-28,121.04023742675781,0.012678021661008404,0.0,0,1.0
2013-03-31,125.07996368408203,0.032830211213734785,0.0,0,1.0
2013-04-30,128.0500946044922,0.023468309206186092,0.0,0,1.0
2013-05-31,131.07322692871094,0.023334599762060072,1.0,0,1.0
2013-06-30,128.64341735839844,-0.018711780852456554,1.0,0,1.0
2013-07-31,136.0072021484375,0.05566347094382342,1.0,0,1.0
2013-08-31,131.92811584472656,-0.0304506439910794,1.0,0,1.0
2013-09-30,135.4429168701172,0.026293076529451523,1.0,0,1.0
2013-10-31,142.40567016601562,0.050129542920648834,1.0,0,1.0
2013-11-30,146.62619018554688,0.029206607381468932,1.0,0,1.0
2013-12-31,149.61541748046875,0.020181694106611286,1.0,0,1.0
2014-01-31,145.1253662109375,-0.030470154822602787,1.0,0,1.0
2014-02-28,151.73080444335938,0.04450996389911872,1.0,0,1.0
2014-03-31,152.31729125976562,0.0038578603325522135,1.0,0,1.0
2014-04-30,154.05308532714844,0.011331465267508643,1.0,0,0.0
2014-05-31,157.62806701660156,0.022940998843099043,1.0,0,0.0
2014-06-30,160.11505126953125,0.015654375486657057,1.0,0,0.0
2014-07-31,158.72042846679688,-0.008748284214612064,1.0,0,0.0
2014-08-31,164.9840850830078,0.03870467215970526,1.0,0,0.0
2014-09-30,161.95086669921875,-0.018556017956274772,1.0,0,0.0
2014-10-31,166.53985595703125,0.027941658642212548,1.0,0,0.0
2014-11-30,171.1150360107422,0.027101399641355425,1.0,0,0.0
2014-12-31,169.744140625,-0.00804380736349826,1.0,0,0.0
2015-01-31,165.62379455566406,-0.024573329610488682,1.0,0,1.0
2015-02-28,174.9326934814453,0.05468237270565191,1.0,0,1.0
2015-03-31,171.41998291015625,-0.020284705490179838,1.0,0,1.0
2015-04-30,173.8784942626953,0.014240160673272183,1.0,0,1.0
2015-05-31,176.11386108398438,0.012773977392908881,1.0,0,1.0
2015-06-30,171.70144653320312,-0.025373531202100588,1.0,0,1.0
2015-07-31,176.43408203125,0.02719014106513764,1.0,0,1.0
2015-08-31,165.68038940429688,-0.06288676627985039,1.0,2,1.0
2015-09-30,160.6178741455078,-0.031032476055404844,2.0,1,1.0
2015-10-31,175.18606567382812,0.08682055014517216,2.0,0,1.0
2015-11-30,175.82638549804688,0.0036484206321125722,2.0,0,1.0
2015-12-31,171.7654266357422,-0.023367314781939576,2.0,1,1.0
2016-01-31,164.18511962890625,-0.045135177906202015,0.0,1,1.0
2016-02-29,164.0494842529297,-0.0008264538966500895,2.0,1,1.0
2016-03-31,174.1860809326172,0.059956042866721466,2.0,0,1.0
2016-04-30,175.77456665039062,0.009078144288581811,1.0,0,1.0
2016-05-31,178.76473999023438,0.016868336941433693,0.0,0,1.0
2016-06-30,178.45806884765625,-0.001716974450285972,1.0,0,1.0
2016-07-31,185.9285430908203,0.041008757759366084,0.0,0,1.0
